block,start_date,end_date,return_pct
B3_short_term_reversal,2022-01-18,2023-01-18,-10.546230227322562
B3_short_term_reversal,2022-01-19,2023-01-19,-10.374115041275434
B3_short_term_reversal,2022-01-20,2023-01-20,-9.093935632707018
B3_short_term_reversal,2022-01-21,2023-01-23,-6.731943453303691
B3_short_term_reversal,2022-01-24,2023-01-24,-4.333177574850444
B3_short_term_reversal,2022-01-25,2023-01-25,-4.658572481084611
B3_short_term_reversal,2022-01-26,2023-01-26,-4.8148281024293365
B3_short_term_reversal,2022-01-27,2023-01-27,-5.319576542614312
B3_short_term_reversal,2022-01-28,2023-01-30,-6.128375511162643
B3_short_term_reversal,2022-01-31,2023-01-31,-8.586744488140852
B3_short_term_reversal,2022-02-01,2023-02-01,-9.203320191323517
B3_short_term_reversal,2022-02-02,2023-02-02,-8.871864245212857
B3_short_term_reversal,2022-02-03,2023-02-03,-7.415778221700231
B3_short_term_reversal,2022-02-04,2023-02-06,-7.275396491760899
B3_short_term_reversal,2022-02-07,2023-02-07,-5.576503319946669
B3_short_term_reversal,2022-02-08,2023-02-08,-6.666236217949217
B3_short_term_reversal,2022-02-09,2023-02-09,-8.127323715739687
B3_short_term_reversal,2022-02-10,2023-02-10,-5.13530652148898
B3_short_term_reversal,2022-02-11,2023-02-13,-3.252007601012563
B3_short_term_reversal,2022-02-14,2023-02-14,-2.2293067011627365
B3_short_term_reversal,2022-02-15,2023-02-15,-1.474741700186788
B3_short_term_reversal,2022-02-16,2023-02-16,-4.0131418347336245
B3_short_term_reversal,2022-02-17,2023-02-17,-4.729695450820238
B3_short_term_reversal,2022-02-18,2023-02-21,-6.342609928755671
B3_short_term_reversal,2022-02-22,2023-02-22,-6.490583347146972
B3_short_term_reversal,2022-02-23,2023-02-23,-5.758737597398655
B3_short_term_reversal,2022-02-24,2023-02-24,-6.777454070521049
B3_short_term_reversal,2022-02-25,2023-02-27,-6.537788339982898
B3_short_term_reversal,2022-02-28,2023-02-28,-6.4205185034792445
B3_short_term_reversal,2022-03-01,2023-03-01,-6.358940229128507
B3_short_term_reversal,2022-03-02,2023-03-02,-5.088654654903479
B3_short_term_reversal,2022-03-03,2023-03-03,-3.125032111091419
B3_short_term_reversal,2022-03-04,2023-03-06,-2.8681387533550984
B3_short_term_reversal,2022-03-07,2023-03-07,-4.116088411346752
B3_short_term_reversal,2022-03-08,2023-03-08,-4.268146035966646
B3_short_term_reversal,2022-03-09,2023-03-09,-6.217452193213746
B3_short_term_reversal,2022-03-10,2023-03-10,-7.352793317077699
B3_short_term_reversal,2022-03-11,2023-03-13,-8.410899211983214
B3_short_term_reversal,2022-03-14,2023-03-14,-8.410899211983214
B3_short_term_reversal,2022-03-15,2023-03-15,-8.410899211983214
B3_short_term_reversal,2022-03-16,2023-03-16,-8.410899211983214
B3_short_term_reversal,2022-03-17,2023-03-17,-8.410899211983214
B3_short_term_reversal,2022-03-18,2023-03-20,-7.910415850936847
B3_short_term_reversal,2022-03-21,2023-03-21,-5.7164826071450126
B3_short_term_reversal,2022-03-22,2023-03-22,-8.096478969704046
B3_short_term_reversal,2022-03-23,2023-03-23,-9.437419684938986
B3_short_term_reversal,2022-03-24,2023-03-24,-10.23647412852532
B3_short_term_reversal,2022-03-25,2023-03-27,-9.964685919249316
B3_short_term_reversal,2022-03-28,2023-03-28,-10.041752646957558
B3_short_term_reversal,2022-03-29,2023-03-29,-10.773015894167393
B3_short_term_reversal,2022-03-30,2023-03-30,-8.561627145086604
B3_short_term_reversal,2022-03-31,2023-03-31,-5.80520566018915
B3_short_term_reversal,2022-04-01,2023-04-03,-4.582829037134129
B3_short_term_reversal,2022-04-04,2023-04-04,-5.536063788520417
B3_short_term_reversal,2022-04-05,2023-04-05,-2.5757873727138003
B3_short_term_reversal,2022-04-06,2023-04-06,-0.5881727867331099
B3_short_term_reversal,2022-04-08,2023-04-10,0.2017270816601524
B3_short_term_reversal,2022-04-11,2023-04-11,0.46361284435183503
B3_short_term_reversal,2022-04-12,2023-04-12,-0.35689450029415815
